DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SI,2018,1.9,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SI,2019,1.7,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SI,2020,-0.3,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SI,2021,2.0,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SI,2022,9.3,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SI,2023,7.2,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SK,2004,7.5,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SK,2005,2.8,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SK,2006,4.3,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SK,2007,1.9,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SK,2008,3.9,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SK,2009,0.9,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SK,2010,0.7,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SK,2011,4.1,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SK,2012,3.7,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SK,2013,1.5,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SK,2014,-0.1,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SK,2015,-0.3,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SK,2016,-0.5,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SK,2017,1.4,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SK,2018,2.5,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SK,2019,2.8,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SK,2020,2.0,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SK,2021,2.8,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SK,2022,12.1,
ESTAT:PRC_HICP_AIND(1.0),17/05/24 11:00:00,A,RCH_A_AVG,CP00,SK,2023,11.0,
