DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,HU,2020-Q4,4.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,HU,2021-Q4,3.7,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,HU,2022-Q4,3.9,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,HU,2023-Q4,4.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2004-Q4,10.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2005-Q4,7.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2006-Q4,5.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2007-Q4,4.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2008-Q4,7.8,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2009-Q4,15.5,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2010-Q4,17.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2011-Q4,13.9,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2012-Q4,13.2,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2013-Q4,11.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2014-Q4,10.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2015-Q4,8.8,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2016-Q4,7.7,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2017-Q4,6.7,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2018-Q4,6.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2019-Q4,6.4,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2020-Q4,9.1,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2021-Q4,7.0,
ESTAT:LFSQ_URGAN(1.0),24/04/24 23:00:00,Q,PC,T,Y15-74,TOTAL,LT,2022-Q4,6.4,
